Task Name,Task ID,Use Case,Target,CC:,Milestone Task,Deprel,Task Dependent,Float,AI User Types,Attachments,Development Notes,AI Logic,How to Complete this Task Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Acceptance Date,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review Documentation,8,"Buy-Fin, Buy-Cash, Sell-Fin, Sell-Cash",Agent,TC,,FS,5,0,"Manual, Assisted & Autopilot",, ,"If manually entered then only manual automation completes it. Otherwise, AI is still responsible to complete under assisted and autopilot.","Review all uploaded documents submitted with the transaction. Ensure that each document is signed by all applicable parties. If any documents are not signed, or if any documents are missing, request the signatures/documents.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer Welcome ,10,"Buy-Fin, Buy-Cash",Buyer(s),"Agent, TC",Offer Accepted,FS,5,0,"Manual, Assisted & Autopilot",All uploaded Docs,Link to client portal document center will be in the welcome email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seller Welcome,20,"Sell-Fin, Sell-Cash",Seller,"Agent, TC",Offer Accepted,FS,5,0,"Manual, Assisted & Autopilot",All uploaded Docs,Link to client portal document center will be in the welcome email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Agent Welcome ,30,"Buy-Fin, Buy-Cash, Sell-Fin, Sell-Cash",Co-op Agent,"Agent, TC",,FS,5,0,"Manual, Assisted & Autopilot",All uploaded Docs, ,"If in task 8 and it's determined that we need documentation, signatures or contact info the AI include those requests in the welcome email. If AI requests any information then the agent and TC are CC'd on the email to the co agent. Otherwise they are not.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending Reminder,50,"Sell-Fin, Sell-Cash",Agent,TC,,FS,5,3,"Manual, Assisted & Autopilot",, ,,Mark the home as pending and put a sold sign in the yard.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loan Officer Welcome,60,"Buy-Fin, Sell-Fin",Loan Officer,"Agent, Co-op Agent, TC",,FS,5,0,Assisted & Autopilot,All uploaded Docs contingent on AI logic, ,AI should check for personal property and monetary agreement on amendments and addendum and if any exists then AI does not deliver the amendment or addendum.,Send loan officer an email with the fully executed agreement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order Title,70,"Buy-Fin, Buy-Cash, Sell-Fin, Sell-Cash",Title,"Agent, Co-op Agent, TC",,FS,5,0,Assisted & Autopilot,All uploaded Docs contingent on AI logic,This task only populates if the person we represent (Buyer or Seller) is responsible to order the title work. (This task is dependent to the answer to the question of who orders title work in the wizard) ,AI should check for personal property and monetary agreement on amendments and addendum and if any exists then AI does not deliver the amendment or addendum.,Send the title company an email with the fully executed agreement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirm Title Order,80,"Buy-Fin, Buy-Cash, Sell-Fin, Sell-Cash",Title,"Agent, Co-op Agent, TC",,FS,5,0,Assisted & Autopilot,,(This task is dependent on the answer to the question of who orders title in the wizard) the co-op agent is ordering title. E.g. “As a courtesy to <co-op agent name> would like to engage you as the escrow agent....”,AI should check for personal property and monetary agreement on amendments and addendum and if any exists then AI does not deliver the amendment or addendum.,Send the title company an email with the fully executed agreement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Request HOA Docs,90,"Buy-Fin, Buy-Cash",Co-op Agent,"Agent, TC",,FS,110,-5,Assisted & Autopilot,,This task will populate based on the information parsed from the purcashe agreement. If there is no HOA then this task doesn't populate.,"Check the document center to see if the Homeowners Association (HOA) documents have been uploaded. If they have not, AI will request the HOA docs from the listing agent.","Check the document center to see if the Homeowners Association (HOA) documents have been uploaded. If they have not, email the listing agent to request the HOA docs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
