Task Name,Task ID,Use Case,Target,CC:,Milestone Task,Deprel,Task Dependent,Float,Development Notes,Additional Notes,Task Description,MStone,,
Contract Acceptance Date,5,,,,,,,,,,,,,
Review Documentation,8,"Buy-Fin, Buy-Cash, Sell-Fin, Sell-Cash",Agent,,,FS,5,0,"If ""Both"" is selected for the Agent Rep, then only one task instance is created.",,"Review all documents submitted with the transaction. Ensure that each document is signed by both the buyer and seller. If any documents are not signed, or if any documents are missing, email the agent to request the signatures/documents. Attach any unsigned documents to the email. Be sure to review each counter offer and the last page of the purchase agreement. Edit the script to describe the missing signatures and/or documents before sending.

Documents to Review:
 Purchase Agreement
 Counter Offer(s) – If applicable",,,
Buyer Welcome (Automated),10,"Buy-Fin, Buy-Cash",Buyer,,Offer Accepted,FS,5,0,,,,1,,
Seller Welcome (Automated),20,"Sell-Fin, Sell-Cash",Seller,,Offer Accepted,FS,5,0,,,,,,
Co-op Agent Welcome (Automated),30,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Co-op Agent,,,FS,5,0,"If ""Both"" is selected, this task instance does not populate.",This task is specifically for the paying agent.,,,,
Pending Reminder,50,"Sell-Fin, Sell-Cash",Agent,,,FS,5,3,"If ""Both"" is selected for the Agent Rep, then only one task instance is created.",,"If earnest money has been received, mark the home as pending and put a sold sign in the yard.",,,
Loan Officer Welcome (Automated),60,"Buy-Fin, Sell-Fin",Loan Officer,"Agent, Co-op Agent",,FS,5,0,"If ""Both"" is selected for the Agent Rep, then only one task instance is created.",,"Send the Loan Officer an email with the following documents:
• Purchase Agreement (Fully executed)
• All Counters (Fully executed)
• BLC or Tax Sheet
• Copy of Earnest Money Check (If uploaded)",,,
Order Title (Automated),70,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Title,"Agent, Co-op Agent",Title Work Ordered,FS,5,0,This task only populates if the person we represent (Buyer or Seller) is responsible to order the title work. (This task is dependent to the answer to the question of who orders title work in the wizard),"If ""Both"" is selected, only one task instance is created.","Order the title work by sending the Title Rep an email with the following documents:
• Purchase Agreement (Fully executed)
• All Counters (Fully executed)
• BLC or Tax Sheet
• Sellers Disclosure (If uploaded)",,,
Confirm Title Order (To Be Automated),80,"Buy-Fin, Buy-Cash, Sell-Fin, Sell Cash",Title,"Agent, Co-op Agent",Title Work Ordered,FS,5,0,(This task is dependent on the answer to the question of who orders title in the wizard),,"Follow up to make sure title was ordered by sending an email to the Title Rep with the following documents:
• Purchase Agreement (Fully executed)
• All Counters (Fully executed)
• BLC or Tax Sheet
• Sellers Disclosure (If uploaded)",,,
Request HOA Docs (To Be Automated),90,"Buy-Fin, Buy-Cash",Co-op Agent,Agent ,,FS,110,-5,"Should be related to the wizard checkbox in the ""Timelines"" step. If answer is ""no"", this task does not populate.","If ""Both"" is selected, this task instance does not populate.","Check the document center to see if the Homeowners Association (HOA) documents have been uploaded. If they have not, call the Listing Agent to request the HOA docs and send a follow up email.",,,
